"dist_num","mean","median","p75","p90","p95","p975","p99"
"101",0.0477469092871669,0.0413451624868125,0.0700379792301491,0.0989629630086056,0.115138092402251,0.133395543994979,0.141770060139243
"102",0.0495819220812217,0.0436124427956819,0.0741654915313561,0.100694635243155,0.119020732116852,0.136179741021503,0.144072486524367
"103",0.0582619923696657,0.0573987932147447,0.0880173339526791,0.10857320067788,0.117869135412035,0.125729818682126,0.129414925807413
"104",0.0344745098769235,0.0220482870905122,0.0471506264504671,0.0859312403435966,0.111201657307995,0.139167478660997,0.153676411982787
"105",0.0394132260825697,0.0308203962074776,0.0573113762124924,0.0877800781695714,0.108466836382917,0.124146829372132,0.138630789245147
"106",0.0425010243912346,0.0327307526796957,0.0601468016613728,0.09501455437319,0.119230989595662,0.141877990603578,0.157141412230435
"107",0.0470368657257311,0.0401637490788956,0.0684390730166088,0.098927232759402,0.118703381302862,0.13534640101919,0.147755072532142
"108",0.0470891203104521,0.0404503242671771,0.0694005868320122,0.0982001094161699,0.113715112557473,0.129402801057069,0.139231597265034
"109",0.0372088552142086,0.0239693051336866,0.051606727041636,0.0906482564200477,0.119919827344872,0.148465820571834,0.161818258133597
"110",0.0356410798495048,0.0233457159342183,0.0488037056292754,0.0870863826931436,0.115281444855459,0.14201987528538,0.159328160871996
"111",0.0406765691440176,0.0302756699323491,0.0578885042009948,0.0931917257823749,0.114503774735553,0.138060741475871,0.15115685968644
"112",0.0491374870284187,0.0413768199212556,0.0712045066719154,0.10263959635385,0.121756498210264,0.142147723022731,0.152036991610297
"241",0.0453367518834772,0.0285332695186194,0.0671843121053267,0.112157517515691,0.145792234994118,0.166524310326889,0.201206079256943
"242",0.0389764911067342,0.0167340676822948,0.0552650655363821,0.11423826596319,0.164889489100604,0.199888540441917,0.230236038854204
"243",0.0524337843389223,0.037949117958267,0.0751902146236108,0.12204261992986,0.154655903701549,0.182066224567826,0.204445987077715
"244",0.0596384723875417,0.0494263698286691,0.088925625472273,0.129040648773224,0.149869660676901,0.170583027447549,0.186855775003868
"245",0.0482277245832494,0.0333167662765378,0.0700184817093767,0.114840722373944,0.142688663687357,0.171017653787568,0.194881579873756
"246",0.0441794253507551,0.0286510872340746,0.0635520645754682,0.107247792864744,0.139535885091002,0.171358501726714,0.195222424753653
"247",0.0507458345697365,0.0235401942065075,0.0713720635244213,0.146794148219688,0.192105256372592,0.241108937936556,0.266214058738904
"248",0.0444052284438295,0.0229396260997429,0.0613962018392311,0.116289224888866,0.174972719810316,0.194507697847738,0.233472111822087
"249",0.0355546997725203,0.0164879867069151,0.0503434929271934,0.0960750357563642,0.137282190128273,0.171454888481334,0.199197230571403
"250",0.058271127700287,0.0526006064810317,0.0884956540467378,0.11483164272696,0.134655539239085,0.151838784323036,0.162222471564236
"311",0.0294078887580381,0.0115466014308175,0.0403233244962312,0.0851466447405521,0.124508634940919,0.158853206501674,0.181786318007944
"312",0.0461549886369295,0.0377119770080098,0.0664174653644012,0.099036040655252,0.120066602057804,0.139380925688652,0.157395031585327
"313",0.0325870150869929,0.0127917986889922,0.0463816205814638,0.0917550974443534,0.139015901844245,0.170818512986974,0.196190833021597
"314",0.0471474015316185,0.037257331876649,0.0665559780901175,0.103467593655295,0.126317972803895,0.152358954567567,0.16919030808492
"315",0.0495202701944438,0.0417571300996428,0.0728990870852089,0.103570069492225,0.122407988297241,0.138775857192482,0.154030836772221
"316",0.0322371633719424,0.01681899014903,0.0444812224608869,0.0837512764740926,0.117662314612218,0.142434910965242,0.174633794243927
"400",0.0296676831644709,0.016007856256601,0.0423539233909652,0.0780479073542196,0.108311503760934,0.12915517438609,0.147628713139152
"501",0.0903885425516645,0.096282289817366,0.140168092132761,0.15243220727395,0.153753972168132,0.154084886167279,0.154165690303048
"502",0.0766556929327179,0.0756364380438354,0.11882533186958,0.142049844846377,0.149896834413458,0.153271217957622,0.156150620891784
"503",0.0639958005900247,0.057953269016496,0.0974287833403082,0.131595755477664,0.147641412584822,0.165233308859564,0.174760522577282
"504",0.0724983156145331,0.0696946200549052,0.109152824498358,0.140017341631359,0.153857874680528,0.166521506334579,0.177154041517778
"505",0.0379985268620197,0.0172624880545122,0.054758177705603,0.11154322653467,0.153347511678116,0.180354835826629,0.199470679103693
"506",0.0409102383293194,0.0247243748670575,0.0597489715376962,0.104720411437757,0.134378288659215,0.156732055961805,0.186197654809699
"600",0.052328797774771,0.0462785257268339,0.0806510207343591,0.108042272323834,0.125031810364887,0.134940283935464,0.146999475956363
"700",0.0407859525856261,0.017196925316736,0.0605717167504654,0.121762439219918,0.16362543975546,0.186008383115879,0.240565047955452
"800",0.0706837188299453,0.0736147208824378,0.111325931354058,0.126630630075768,0.129537899230385,0.130075618150756,0.130265874740019
"900",0.0548380700439268,0.0479810480007158,0.0836739966882001,0.116327971449601,0.135049911599546,0.151905724003733,0.163471999613176
"1001",0.0570760100565076,0.04499816184157,0.0865190441718466,0.121964276124274,0.147794125244439,0.167037815294758,0.182572408612565
"1002",0.0576067348474074,0.0468730667340065,0.0885732667105265,0.125159719333545,0.148690351239658,0.165134032933525,0.185944854671527
