"","BEZNAME","BEZNR","time","warning_level"
"585","District de la Broye-Vully",2222,"2026-06-21","2"
"586","District du Gros-de-Vaud",2223,"2026-06-17","0"
"587","District du Gros-de-Vaud",2223,"2026-06-18","1"
"588","District du Gros-de-Vaud",2223,"2026-06-19","3"
"589","District du Gros-de-Vaud",2223,"2026-06-20","1"
"590","District du Gros-de-Vaud",2223,"2026-06-21","2"
"591","District du Jura-Nord vaudois",2224,"2026-06-17","0"
"592","District du Jura-Nord vaudois",2224,"2026-06-18","2"
"593","District du Jura-Nord vaudois",2224,"2026-06-19","3"
"594","District du Jura-Nord vaudois",2224,"2026-06-20","1"
"595","District du Jura-Nord vaudois",2224,"2026-06-21","2"
"596","District de Lausanne",2225,"2026-06-17","0"
"597","District de Lausanne",2225,"2026-06-18","2"
"598","District de Lausanne",2225,"2026-06-19","3"
"599","District de Lausanne",2225,"2026-06-20","1"
"600","District de Lausanne",2225,"2026-06-21","3"
"601","District de Lavaux-Oron",2226,"2026-06-17","0"
"602","District de Lavaux-Oron",2226,"2026-06-18","2"
"603","District de Lavaux-Oron",2226,"2026-06-19","3"
"604","District de Lavaux-Oron",2226,"2026-06-20","1"
"605","District de Lavaux-Oron",2226,"2026-06-21","3"
"606","District de Morges",2227,"2026-06-17","0"
"607","District de Morges",2227,"2026-06-18","1"
"608","District de Morges",2227,"2026-06-19","2"
"609","District de Morges",2227,"2026-06-20","1"
"610","District de Morges",2227,"2026-06-21","2"
"611","District de Nyon",2228,"2026-06-17","0"
"612","District de Nyon",2228,"2026-06-18","1"
"613","District de Nyon",2228,"2026-06-19","2"
"614","District de Nyon",2228,"2026-06-20","1"
"615","District de Nyon",2228,"2026-06-21","2"
"616","District de l'Ouest lausannois",2229,"2026-06-17","0"
"617","District de l'Ouest lausannois",2229,"2026-06-18","1"
"618","District de l'Ouest lausannois",2229,"2026-06-19","2"
"619","District de l'Ouest lausannois",2229,"2026-06-20","1"
"620","District de l'Ouest lausannois",2229,"2026-06-21","2"
"621","District de la Riviera-Pays-d'Enhaut",2230,"2026-06-17","0"
"622","District de la Riviera-Pays-d'Enhaut",2230,"2026-06-18","2"
"623","District de la Riviera-Pays-d'Enhaut",2230,"2026-06-19","3"
"624","District de la Riviera-Pays-d'Enhaut",2230,"2026-06-20","2"
"625","District de la Riviera-Pays-d'Enhaut",2230,"2026-06-21","3"
"626","Bezirk Brig",2301,"2026-06-17","0"
"627","Bezirk Brig",2301,"2026-06-18","0"
"628","Bezirk Brig",2301,"2026-06-19","1"
"629","Bezirk Brig",2301,"2026-06-20","0"
"630","Bezirk Brig",2301,"2026-06-21","1"
"631","District de Conthey",2302,"2026-06-17","0"
"632","District de Conthey",2302,"2026-06-18","1"
"633","District de Conthey",2302,"2026-06-19","2"
"634","District de Conthey",2302,"2026-06-20","0"
"635","District de Conthey",2302,"2026-06-21","3"
"636","District d'Entremont",2303,"2026-06-17","0"
"637","District d'Entremont",2303,"2026-06-18","0"
"638","District d'Entremont",2303,"2026-06-19","1"
"639","District d'Entremont",2303,"2026-06-20","0"
"640","District d'Entremont",2303,"2026-06-21","1"
"641","Bezirk Goms",2304,"2026-06-17","0"
"642","Bezirk Goms",2304,"2026-06-18","0"
"643","Bezirk Goms",2304,"2026-06-19","1"
"644","Bezirk Goms",2304,"2026-06-20","1"
"645","Bezirk Goms",2304,"2026-06-21","1"
"646","District d'Hérens",2305,"2026-06-17","0"
"647","District d'Hérens",2305,"2026-06-18","1"
"648","District d'Hérens",2305,"2026-06-19","2"
"649","District d'Hérens",2305,"2026-06-20","1"
"650","District d'Hérens",2305,"2026-06-21","2"
"651","Bezirk Leuk",2306,"2026-06-17","0"
"652","Bezirk Leuk",2306,"2026-06-18","1"
"653","Bezirk Leuk",2306,"2026-06-19","2"
"654","Bezirk Leuk",2306,"2026-06-20","0"
"655","Bezirk Leuk",2306,"2026-06-21","2"
"656","District de Martigny",2307,"2026-06-17","0"
"657","District de Martigny",2307,"2026-06-18","1"
"658","District de Martigny",2307,"2026-06-19","2"
"659","District de Martigny",2307,"2026-06-20","0"
"660","District de Martigny",2307,"2026-06-21","2"
"661","District de Monthey",2308,"2026-06-17","0"
"662","District de Monthey",2308,"2026-06-18","2"
"663","District de Monthey",2308,"2026-06-19","3"
"664","District de Monthey",2308,"2026-06-20","1"
"665","District de Monthey",2308,"2026-06-21","3"
"666","Bezirk Raron",2309,"2026-06-17","0"
"667","Bezirk Raron",2309,"2026-06-18","1"
"668","Bezirk Raron",2309,"2026-06-19","2"
"669","Bezirk Raron",2309,"2026-06-20","1"
"670","Bezirk Raron",2309,"2026-06-21","2"
"671","District de Saint-Maurice",2310,"2026-06-17","0"
"672","District de Saint-Maurice",2310,"2026-06-18","1"
"673","District de Saint-Maurice",2310,"2026-06-19","3"
"674","District de Saint-Maurice",2310,"2026-06-20","1"
"675","District de Saint-Maurice",2310,"2026-06-21","3"
"676","District de Sierre",2311,"2026-06-17","0"
"677","District de Sierre",2311,"2026-06-18","2"
"678","District de Sierre",2311,"2026-06-19","2"
"679","District de Sierre",2311,"2026-06-20","1"
"680","District de Sierre",2311,"2026-06-21","2"
"681","District de Sion",2312,"2026-06-17","1"
"682","District de Sion",2312,"2026-06-18","2"
"683","District de Sion",2312,"2026-06-19","3"
"684","District de Sion",2312,"2026-06-20","1"
"685","District de Sion",2312,"2026-06-21","3"
"686","Bezirk Visp",2313,"2026-06-17","0"
"687","Bezirk Visp",2313,"2026-06-18","0"
"688","Bezirk Visp",2313,"2026-06-19","1"
"689","Bezirk Visp",2313,"2026-06-20","0"
"690","Bezirk Visp",2313,"2026-06-21","1"
"691","Canton de Neuchâtel",2400,"2026-06-17","0"
"692","Canton de Neuchâtel",2400,"2026-06-18","1"
"693","Canton de Neuchâtel",2400,"2026-06-19","3"
"694","Canton de Neuchâtel",2400,"2026-06-20","1"
"695","Canton de Neuchâtel",2400,"2026-06-21","3"
"696","Canton de Genève",2500,"2026-06-17","0"
"697","Canton de Genève",2500,"2026-06-18","1"
"698","Canton de Genève",2500,"2026-06-19","2"
"699","Canton de Genève",2500,"2026-06-20","1"
"700","Canton de Genève",2500,"2026-06-21","1"
"701","District de Delémont",2601,"2026-06-17","0"
"702","District de Delémont",2601,"2026-06-18","1"
"703","District de Delémont",2601,"2026-06-19","2"
"704","District de Delémont",2601,"2026-06-20","2"
"705","District de Delémont",2601,"2026-06-21","3"
"706","District des Franches-Montagnes",2602,"2026-06-17","0"
"707","District des Franches-Montagnes",2602,"2026-06-18","1"
"708","District des Franches-Montagnes",2602,"2026-06-19","2"
"709","District des Franches-Montagnes",2602,"2026-06-20","1"
"710","District des Franches-Montagnes",2602,"2026-06-21","3"
"711","District de Porrentruy",2603,"2026-06-17","0"
"712","District de Porrentruy",2603,"2026-06-18","1"
"713","District de Porrentruy",2603,"2026-06-19","2"
"714","District de Porrentruy",2603,"2026-06-20","1"
"715","District de Porrentruy",2603,"2026-06-21","3"
