"dist_num","mean","median","p75","p90","p95","p975","p99"
"101",0.0568637618263154,0.0425033361656131,0.0850757342645007,0.133895998669775,0.163638698662243,0.193792626818511,0.208449732034369
"102",0.0592401185468118,0.0455359370598003,0.0883075807993514,0.136542698183507,0.16747237360446,0.19838783576948,0.213304393719162
"103",0.0528957586848318,0.034655834062788,0.0769999605945846,0.13328425182397,0.167493466369545,0.207527291746133,0.229851559413602
"104",0.055899440890536,0.0431333322632587,0.0833669689301837,0.130362130820893,0.156894567863305,0.183741152253022,0.198668181097704
"105",0.0594460593964417,0.0506744486929123,0.0913287002233812,0.1273744288267,0.148685075516932,0.163342001227599,0.176535453667649
"106",0.0603323981775743,0.0485398635397881,0.0913371564177581,0.135767059915133,0.16484663255982,0.18996298079989,0.20721353346287
"107",0.0523744548443056,0.0332757954331939,0.0760286777025219,0.132697229151452,0.170782748080084,0.203189621641458,0.228014785842555
"108",0.0615554069849943,0.0515718222054025,0.0946823996642829,0.134158176159009,0.154657668994426,0.175220421313084,0.187446391796403
"109",0.0604653359155556,0.0477568966951596,0.0914090455803406,0.137849255509952,0.165307070356897,0.192538965453557,0.20436969662691
"110",0.0569388389165801,0.0444291249088385,0.0867719967283421,0.131800619948725,0.159981671127289,0.186172422939145,0.203272365692797
"111",0.0575265801043345,0.0443502263987524,0.0860133081969096,0.133169463564973,0.161561880339422,0.188248510148663,0.205314359384235
"112",0.0507784556535567,0.0267871193597965,0.0727188337823168,0.138478060078549,0.184141577798106,0.228365029603728,0.251846250117412
"241",0.0498833830231911,0.0334137316443204,0.0749170569613299,0.12012364616264,0.15303897924043,0.173143934601564,0.206608954044036
"242",0.0596632986501613,0.0538091415222052,0.0908755027836556,0.120839570367088,0.133600031362384,0.145504733715783,0.15383414072964
"243",0.0530456344012286,0.0372547906411633,0.076782739912651,0.124600607518259,0.159307801518117,0.187838197580471,0.21114812139994
"244",0.0442260165430475,0.0225255194680975,0.059399984717355,0.122692936360866,0.162204938796823,0.199900737271496,0.229141575729827
"245",0.068580575287712,0.0656785937773031,0.104694507376601,0.130051710632639,0.140526783630015,0.148451557645927,0.155126078630068
"246",0.0489340536422197,0.0364752736535402,0.0729514165260031,0.110762672587361,0.138783073803183,0.16228631000824,0.180143480175685
"247",0.0600909466059234,0.0633693423234712,0.0936864064531795,0.102920466402764,0.104187332652896,0.104677702311815,0.104809966564072
"248",0.0304707075851894,0.0158458672357686,0.0448392264696448,0.0815427365737937,0.11117887949818,0.138992483058958,0.156111779903611
"249",0.0419097028741894,0.018739607313043,0.0606785494777766,0.118252157702645,0.168635494626026,0.205851201473204,0.241785801052151
"250",0.0558049532175064,0.0536989397137901,0.0869356009977064,0.106718818119163,0.118731970803746,0.127548989616234,0.13219823706042
"311",0.0427211147122832,0.0296765564141733,0.0615590306500593,0.103748325862699,0.13399585262404,0.162231343830653,0.184275180522487
"312",0.0480284710731766,0.0307300893109027,0.0687224552964479,0.120006866948441,0.156220608825298,0.190947028111866,0.222351544577119
"313",0.0450285492218832,0.030061576286649,0.0638466512329958,0.111757272139324,0.144072437734381,0.177698525399619,0.203894233596712
"314",0.0589000304507568,0.0457124341641093,0.0866784332237763,0.13493084861769,0.163686160778714,0.195830798443436,0.216339855768526
"315",0.0569929682077661,0.0443370952069178,0.0856726705732617,0.128974534702277,0.156152513210174,0.179856358324981,0.201901433409387
"316",0.0565900764922547,0.0458762070276776,0.0876412533829837,0.123392465916424,0.148496352226209,0.165549259962757,0.187000580632528
"400",0.0320315069214732,0.023736927430864,0.0480932600354634,0.0743372987322792,0.094345061817444,0.107718888990379,0.11921099755525
"501",0.0526230184107721,0.03513329318348,0.0783567371668004,0.129123318865577,0.156944700562046,0.187268703012938,0.211411896213033
"502",0.0512394406060513,0.0380076746087419,0.0765322495586511,0.117304309654208,0.144648057410586,0.163629550804759,0.191305434411959
"503",0.0454839483662116,0.0257083180288901,0.0652239296396001,0.122726616578826,0.15560863649783,0.194795269377717,0.217325402555176
"504",0.0454510662586547,0.0202790912108231,0.064655069935012,0.132789560110318,0.185605884384312,0.220766650693463,0.272097490798283
"505",0.0515336638888655,0.0447553221785487,0.0782948841218759,0.109994031244077,0.125058263310614,0.142574734130663,0.149253125333246
"506",0.0470422378982728,0.0373849104814463,0.0714032476443304,0.104798421359399,0.124664496419988,0.139772530511628,0.157485399226198
